no_ste;no_unit_cond;cd_emp;no_int_clg;dte_hre_crea;dte_hre_modif;aut_modif;typ_unit;qte;cd_lot;no_ext_unit_cond;cd_art;ind_pr_art;des_art_a;nrm_art_a;nrm_art_b;cd_art;des_art_a;ind_pr_art;cd_serie;dte_hre_crea;dte_hre_modif;dte_hre_entree;cpt_bnliv;cpt_bn_liv;no_ligne
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651094;01/02/2022 09:44;01/02/2022 09:44;01/02/2022 09:48;;;101
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186601;01/02/2022 09:43;01/02/2022 09:43;01/02/2022 09:51;;;104
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186600;01/02/2022 09:43;01/02/2022 09:43;01/02/2022 09:51;;;104
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651093;01/02/2022 09:40;01/02/2022 09:40;01/02/2022 09:48;;;101
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186598;01/02/2022 09:39;01/02/2022 09:39;01/02/2022 09:51;;;104
1;2169451;ACF;;01/02/2022 09:51;01/02/2022 09:51;CFO;C;8;OF34627;2169451;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186599;01/02/2022 09:39;01/02/2022 09:39;01/02/2022 09:51;;;104
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186595;01/02/2022 09:35;01/02/2022 09:35;01/02/2022 09:36;;;104
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186596;01/02/2022 09:35;01/02/2022 09:35;01/02/2022 09:36;;;104
1;2169447;ACF;;01/02/2022 09:36;01/02/2022 09:36;CFO;C;8;OF34627;2169447;10956B018;H;WANDLERGLOCKE 8HP95 Variante 093;;1 104 335 093;10956B018;WANDLERGLOCKE 8HP95 Variante 093;H;186597;01/02/2022 09:36;01/02/2022 09:36;01/02/2022 09:36;;;104
1;2169449;ZF;;01/02/2022 09:48;01/02/2022 09:48;CFO;C;8;OF34619;2169449;10954B021;e;WANDLERGLOCKE 8HP65 PL 65 V083;;1 103 335 083;10954B021;WANDLERGLOCKE 8HP65 PL 65 V083;e;651090;01/02/2022 09:22;01/02/2022 09:22;01/02/2022 09:48;;;101
